contamination,threshold,precision,recall,f1
0.005,0.531185333300744,0.0,0.0,0.0
0.005,0.5355964992759694,0.0,0.0,0.0
0.005,0.5400076652511949,0.0,0.0,0.0
0.005,0.5444188312264203,0.0,0.0,0.0
0.005,0.5488299972016457,0.0,0.0,0.0
0.005,0.5532411631768711,0.0,0.0,0.0
0.005,0.5576523291520965,0.0,0.0,0.0
0.005,0.562063495127322,0.0,0.0,0.0
0.005,0.5664746611025474,0.0,0.0,0.0
0.005,0.5708858270777728,0.0,0.0,0.0
0.005,0.5752969930529983,0.0,0.0,0.0
0.005,0.5797081590282237,0.0,0.0,0.0
0.005,0.5841193250034491,0.0,0.0,0.0
0.005,0.5885304909786745,0.0,0.0,0.0
0.005,0.5929416569538999,0.0,0.0,0.0
0.005,0.5973528229291254,0.0,0.0,0.0
0.005,0.6017639889043508,0.0,0.0,0.0
0.005,0.6061751548795762,0.0,0.0,0.0
0.005,0.6105863208548017,0.0,0.0,0.0
0.005,0.614997486830027,0.0,0.0,0.0
0.005,0.6194086528052525,0.0,0.0,0.0
0.006,0.4032615200192068,0.1346153846153846,1.0,0.23728813559322035
0.006,0.4076726859944322,0.1414141414141414,1.0,0.24778761061946902
0.006,0.41208385196965763,0.14432989690721648,1.0,0.25225225225225223
0.006,0.41649501794488303,0.14583333333333334,1.0,0.2545454545454545
0.006,0.4209061839201085,0.14893617021276595,1.0,0.25925925925925924
0.006,0.4253173498953339,0.15384615384615385,1.0,0.26666666666666666
0.006,0.4297285158705593,0.1728395061728395,1.0,0.29473684210526313
0.006,0.4341396818457847,0.19718309859154928,1.0,0.32941176470588235
0.006,0.43855084782101017,0.22950819672131148,1.0,0.37333333333333335
0.006,0.44296201379623557,0.23529411764705882,0.8571428571428571,0.36923076923076925
0.006,0.447373179771461,0.3333333333333333,0.8571428571428571,0.48
0.006,0.4517843457466864,0.3125,0.7142857142857143,0.43478260869565216
0.006,0.45619551172191186,0.25,0.35714285714285715,0.29411764705882354
0.006,0.46060667769713726,0.2,0.21428571428571427,0.20689655172413793
0.006,0.4650178436723627,0.07692307692307693,0.07142857142857142,0.07407407407407407
0.006,0.4694290096475881,0.0,0.0,0.0
0.006,0.47384017562281355,0.0,0.0,0.0
0.006,0.47825134159803895,0.0,0.0,0.0
0.006,0.4826625075732644,0.0,0.0,0.0
0.006,0.4870736735484898,0.0,0.0,0.0
0.006,0.49148483952371524,0.0,0.0,0.0
0.006,0.49589600549894064,0.0,0.0,0.0
0.006,0.500307171474166,0.0,0.0,0.0
0.006,0.5047183374493915,0.0,0.0,0.0
0.006,0.5091295034246169,0.0,0.0,0.0
0.006,0.5135406693998423,0.0,0.0,0.0
0.006,0.5179518353750677,0.0,0.0,0.0
0.006,0.5223630013502931,0.0,0.0,0.0
0.006,0.5267741673255186,0.0,0.0,0.0
0.006,0.531185333300744,0.0,0.0,0.0
0.006,0.5355964992759694,0.0,0.0,0.0
0.006,0.5400076652511949,0.0,0.0,0.0
0.006,0.5444188312264203,0.0,0.0,0.0
0.006,0.5488299972016457,0.0,0.0,0.0
0.006,0.5532411631768711,0.0,0.0,0.0
0.006,0.5576523291520965,0.0,0.0,0.0
0.006,0.562063495127322,0.0,0.0,0.0
0.006,0.5664746611025474,0.0,0.0,0.0
0.006,0.5708858270777728,0.0,0.0,0.0
0.006,0.5752969930529983,0.0,0.0,0.0
0.006,0.5797081590282237,0.0,0.0,0.0
0.006,0.5841193250034491,0.0,0.0,0.0
0.006,0.5885304909786745,0.0,0.0,0.0
0.006,0.5929416569538999,0.0,0.0,0.0
0.006,0.5973528229291254,0.0,0.0,0.0
0.006,0.6017639889043508,0.0,0.0,0.0
0.006,0.6061751548795762,0.0,0.0,0.0
0.006,0.6105863208548017,0.0,0.0,0.0
0.006,0.614997486830027,0.0,0.0,0.0
0.006,0.6194086528052525,0.0,0.0,0.0
0.01,0.4032615200192068,0.1346153846153846,1.0,0.23728813559322035
0.01,0.4076726859944322,0.1414141414141414,1.0,0.24778761061946902
0.01,0.41208385196965763,0.14432989690721648,1.0,0.25225225225225223
0.01,0.41649501794488303,0.14583333333333334,1.0,0.2545454545454545
0.01,0.4209061839201085,0.14893617021276595,1.0,0.25925925925925924
0.01,0.4253173498953339,0.15384615384615385,1.0,0.26666666666666666
0.01,0.4297285158705593,0.1728395061728395,1.0,0.29473684210526313
0.01,0.4341396818457847,0.19718309859154928,1.0,0.32941176470588235
0.01,0.43855084782101017,0.22950819672131148,1.0,0.37333333333333335
0.01,0.44296201379623557,0.23529411764705882,0.8571428571428571,0.36923076923076925
0.01,0.447373179771461,0.3333333333333333,0.8571428571428571,0.48
0.01,0.4517843457466864,0.3125,0.7142857142857143,0.43478260869565216
0.01,0.45619551172191186,0.25,0.35714285714285715,0.29411764705882354
0.01,0.46060667769713726,0.2,0.21428571428571427,0.20689655172413793
0.01,0.4650178436723627,0.07692307692307693,0.07142857142857142,0.07407407407407407
0.01,0.4694290096475881,0.0,0.0,0.0
0.01,0.47384017562281355,0.0,0.0,0.0
0.01,0.47825134159803895,0.0,0.0,0.0
0.01,0.4826625075732644,0.0,0.0,0.0
0.01,0.4870736735484898,0.0,0.0,0.0
0.01,0.49148483952371524,0.0,0.0,0.0
0.01,0.49589600549894064,0.0,0.0,0.0
0.01,0.500307171474166,0.0,0.0,0.0
0.01,0.5047183374493915,0.0,0.0,0.0
0.01,0.5091295034246169,0.0,0.0,0.0
0.01,0.5135406693998423,0.0,0.0,0.0
0.01,0.5179518353750677,0.0,0.0,0.0
0.01,0.5223630013502931,0.0,0.0,0.0
0.01,0.5267741673255186,0.0,0.0,0.0
0.01,0.531185333300744,0.0,0.0,0.0
0.01,0.5355964992759694,0.0,0.0,0.0
0.01,0.5400076652511949,0.0,0.0,0.0
0.01,0.5444188312264203,0.0,0.0,0.0
0.01,0.5488299972016457,0.0,0.0,0.0
0.01,0.5532411631768711,0.0,0.0,0.0
0.01,0.5576523291520965,0.0,0.0,0.0
0.01,0.562063495127322,0.0,0.0,0.0
0.01,0.5664746611025474,0.0,0.0,0.0
0.01,0.5708858270777728,0.0,0.0,0.0
0.01,0.5752969930529983,0.0,0.0,0.0
0.01,0.5797081590282237,0.0,0.0,0.0
0.01,0.5841193250034491,0.0,0.0,0.0
0.01,0.5885304909786745,0.0,0.0,0.0
0.01,0.5929416569538999,0.0,0.0,0.0
0.01,0.5973528229291254,0.0,0.0,0.0
0.01,0.6017639889043508,0.0,0.0,0.0
0.01,0.6061751548795762,0.0,0.0,0.0
0.01,0.6105863208548017,0.0,0.0,0.0
0.01,0.614997486830027,0.0,0.0,0.0
0.01,0.6194086528052525,0.0,0.0,0.0
0.02,0.4032615200192068,0.1346153846153846,1.0,0.23728813559322035
0.02,0.4076726859944322,0.1414141414141414,1.0,0.24778761061946902
0.02,0.41208385196965763,0.14432989690721648,1.0,0.25225225225225223
0.02,0.41649501794488303,0.14583333333333334,1.0,0.2545454545454545
0.02,0.4209061839201085,0.14893617021276595,1.0,0.25925925925925924
0.02,0.4253173498953339,0.15384615384615385,1.0,0.26666666666666666
0.02,0.4297285158705593,0.1728395061728395,1.0,0.29473684210526313
0.02,0.4341396818457847,0.19718309859154928,1.0,0.32941176470588235
0.02,0.43855084782101017,0.22950819672131148,1.0,0.37333333333333335
0.02,0.44296201379623557,0.23529411764705882,0.8571428571428571,0.36923076923076925
0.02,0.447373179771461,0.3333333333333333,0.8571428571428571,0.48
0.02,0.4517843457466864,0.3125,0.7142857142857143,0.43478260869565216
0.02,0.45619551172191186,0.25,0.35714285714285715,0.29411764705882354
0.02,0.46060667769713726,0.2,0.21428571428571427,0.20689655172413793
0.02,0.4650178436723627,0.07692307692307693,0.07142857142857142,0.07407407407407407
0.02,0.4694290096475881,0.0,0.0,0.0
0.02,0.47384017562281355,0.0,0.0,0.0
0.02,0.47825134159803895,0.0,0.0,0.0
0.02,0.4826625075732644,0.0,0.0,0.0
0.02,0.4870736735484898,0.0,0.0,0.0
0.02,0.49148483952371524,0.0,0.0,0.0
0.02,0.49589600549894064,0.0,0.0,0.0
0.02,0.500307171474166,0.0,0.0,0.0
0.02,0.5047183374493915,0.0,0.0,0.0
0.02,0.5091295034246169,0.0,0.0,0.0
0.02,0.5135406693998423,0.0,0.0,0.0
0.02,0.5179518353750677,0.0,0.0,0.0
0.02,0.5223630013502931,0.0,0.0,0.0
0.02,0.5267741673255186,0.0,0.0,0.0
0.02,0.531185333300744,0.0,0.0,0.0
0.02,0.5355964992759694,0.0,0.0,0.0
0.02,0.5400076652511949,0.0,0.0,0.0
0.02,0.5444188312264203,0.0,0.0,0.0
0.02,0.5488299972016457,0.0,0.0,0.0
0.02,0.5532411631768711,0.0,0.0,0.0
0.02,0.5576523291520965,0.0,0.0,0.0
0.02,0.562063495127322,0.0,0.0,0.0
0.02,0.5664746611025474,0.0,0.0,0.0
0.02,0.5708858270777728,0.0,0.0,0.0
0.02,0.5752969930529983,0.0,0.0,0.0
0.02,0.5797081590282237,0.0,0.0,0.0
0.02,0.5841193250034491,0.0,0.0,0.0
0.02,0.5885304909786745,0.0,0.0,0.0
0.02,0.5929416569538999,0.0,0.0,0.0
0.02,0.5973528229291254,0.0,0.0,0.0
0.02,0.6017639889043508,0.0,0.0,0.0
0.02,0.6061751548795762,0.0,0.0,0.0
0.02,0.6105863208548017,0.0,0.0,0.0
0.02,0.614997486830027,0.0,0.0,0.0
0.02,0.6194086528052525,0.0,0.0,0.0
0.05,0.4032615200192068,0.1346153846153846,1.0,0.23728813559322035
0.05,0.4076726859944322,0.1414141414141414,1.0,0.24778761061946902
0.05,0.41208385196965763,0.14432989690721648,1.0,0.25225225225225223
0.05,0.41649501794488303,0.14583333333333334,1.0,0.2545454545454545
0.05,0.4209061839201085,0.14893617021276595,1.0,0.25925925925925924
0.05,0.4253173498953339,0.15384615384615385,1.0,0.26666666666666666
0.05,0.4297285158705593,0.1728395061728395,1.0,0.29473684210526313
0.05,0.4341396818457847,0.19718309859154928,1.0,0.32941176470588235
0.05,0.43855084782101017,0.22950819672131148,1.0,0.37333333333333335
0.05,0.44296201379623557,0.23529411764705882,0.8571428571428571,0.36923076923076925
0.05,0.447373179771461,0.3333333333333333,0.8571428571428571,0.48
0.05,0.4517843457466864,0.3125,0.7142857142857143,0.43478260869565216
0.05,0.45619551172191186,0.25,0.35714285714285715,0.29411764705882354
0.05,0.46060667769713726,0.2,0.21428571428571427,0.20689655172413793
0.05,0.4650178436723627,0.07692307692307693,0.07142857142857142,0.07407407407407407
0.05,0.4694290096475881,0.0,0.0,0.0
0.05,0.47384017562281355,0.0,0.0,0.0
0.05,0.47825134159803895,0.0,0.0,0.0
0.05,0.4826625075732644,0.0,0.0,0.0
0.05,0.4870736735484898,0.0,0.0,0.0
0.05,0.49148483952371524,0.0,0.0,0.0
0.05,0.49589600549894064,0.0,0.0,0.0
0.05,0.500307171474166,0.0,0.0,0.0
0.05,0.5047183374493915,0.0,0.0,0.0
0.05,0.5091295034246169,0.0,0.0,0.0
0.05,0.5135406693998423,0.0,0.0,0.0
0.05,0.5179518353750677,0.0,0.0,0.0
0.05,0.5223630013502931,0.0,0.0,0.0
0.05,0.5267741673255186,0.0,0.0,0.0
0.05,0.531185333300744,0.0,0.0,0.0
0.05,0.5355964992759694,0.0,0.0,0.0
0.05,0.5400076652511949,0.0,0.0,0.0
0.05,0.5444188312264203,0.0,0.0,0.0
0.05,0.5488299972016457,0.0,0.0,0.0
0.05,0.5532411631768711,0.0,0.0,0.0
0.05,0.5576523291520965,0.0,0.0,0.0
0.05,0.562063495127322,0.0,0.0,0.0
0.05,0.5664746611025474,0.0,0.0,0.0
0.05,0.5708858270777728,0.0,0.0,0.0
0.05,0.5752969930529983,0.0,0.0,0.0
0.05,0.5797081590282237,0.0,0.0,0.0
0.05,0.5841193250034491,0.0,0.0,0.0
0.05,0.5885304909786745,0.0,0.0,0.0
0.05,0.5929416569538999,0.0,0.0,0.0
0.05,0.5973528229291254,0.0,0.0,0.0
0.05,0.6017639889043508,0.0,0.0,0.0
0.05,0.6061751548795762,0.0,0.0,0.0
0.05,0.6105863208548017,0.0,0.0,0.0
0.05,0.614997486830027,0.0,0.0,0.0
0.05,0.6194086528052525,0.0,0.0,0.0
